以下実験結果です．[データ量],[再代入誤差],[汎化誤差(最大ノルム)],[汎化誤差(平均ノルム)]
830,32.31479427987656,5.710512552886737,11.828826898020802
840,35.092684684844194,6.821162455093695,12.896719692288805
850,35.34103857475448,6.745011564977256,13.86741558031807
860,34.58588513398138,5.861594175762793,13.10488989695399
870,34.81456373369229,6.503583581854581,13.006456312149126
880,35.08247404021665,6.864629425699613,13.18489569058849
890,35.48599222042913,6.2859759951869725,12.683646591368568
900,35.50100714900848,6.579967324024328,13.299504524927011
910,35.43301062615004,7.205510708329027,14.079209921598112
920,40.9358715933988,7.599113987569129,14.078497460432317
930,36.13276892354352,8.071755657243434,15.933715891927775
940,36.226792885976884,8.727023933663133,16.1495084857228
950,36.20304589520163,10.044586935074939,17.88689501331406
960,35.998633467954384,9.740970108975674,17.194886622541354
970,36.06262213012309,9.462490188580022,17.883587776289886
980,35.86996758646126,9.478707115920672,18.026683218750424
990,35.647227389805884,9.409862846820754,17.884310605741547
1000,35.49246950814251,9.218706299337132,17.374261413791732
1010,35.579752583981495,9.278946581849508,17.735889136743985
1020,36.904486178589984,9.142494763947319,17.72876695146589
1030,35.288566733044725,9.622656754123732,18.12006745867916
1040,35.04292464614151,9.862207148707085,18.646071836558658
1050,35.61125902181157,10.035983464755967,18.32444647690255
1060,34.748636175358875,9.742948235746233,19.213586328773452
1070,35.16974028149541,9.866232613560154,18.879425119710483
1080,35.37681366376222,9.383777286758052,17.69958539375162
1090,35.17391073989065,10.19066323000245,18.169265400006097
1100,35.05537137378663,10.197227309364841,18.060064363138455
1110,35.21438076757945,9.887231016125734,17.492842624076363
1120,34.74178949565859,9.922693156126245,18.061441093169055
1130,35.24493233238145,9.62002590659098,18.247319662766245
1140,34.935740853470776,9.709861213499602,17.791666240570933
1150,35.04169896415069,10.039041346782719,18.047251406890503
1160,34.9718844630662,10.658485282984953,18.65950220710685
1170,35.668787665986414,11.019190539025814,19.047923290790948
1180,35.84167942558365,10.672560539267101,19.181950166339824
1190,36.08428148603255,10.98399929552204,19.087291769634458
1200,36.51804486771757,10.768911571565813,19.356211936552178
1210,36.26874051733598,10.788748435709376,19.309105855573648
1220,36.20159018562213,10.650439390296704,18.588168446407245
1230,36.07169309195558,11.192126351819761,19.363180520579593
1240,36.300411813843255,11.150025556045689,19.853582390344396
1250,36.27693297155737,10.720516043442826,18.746343664591492
1260,36.500897630191396,10.989984602218493,19.237016387673208
1270,36.68522611842927,10.663281470753976,19.12291594909442
1280,36.99877803652077,10.786153699895207,19.910041540329573
1290,36.700205051634356,10.26294151247714,19.26406186076647
1300,36.760072565340685,11.620407442975694,20.36560703000393
1310,36.4657527055637,10.973633096301583,19.88150388075046
1320,36.776177080752355,11.817076057704499,21.08629398827862
1330,36.51713262839965,12.072202139515246,20.99264877989563
1340,36.87172945368167,11.644503523234057,21.3160206324828
1350,36.82253653968269,13.369672297076647,22.753942340214813
1360,36.74605812857688,13.328713440925226,22.121724090865516
1370,36.61104861602672,12.59351159395,21.668131899247644
1380,36.754756472776045,12.47390063763414,21.47241066309331
1390,36.68724105307123,13.089353818630002,22.964196246529376
1400,36.43374040766911,12.216496480189411,21.704465834080136
1410,36.98485792081453,12.981523853491195,23.058649923544554
1420,36.62382424381453,12.666079719378342,22.361584893515392
1430,36.80396002305473,12.825774088402978,23.528496080768882
1440,36.37679425852353,12.829612778407474,23.68336180221095
1450,36.651267834307326,13.191785900017807,22.8118966464224
1460,36.71513997206522,14.456472175073827,25.836534064289243
1470,36.95749912202445,13.644504832412567,24.184950842557328
1480,36.67163918425382,14.042389395831472,25.055482820222046
1490,36.91221310231567,14.075887597410627,24.852839732479072
1500,36.78209369970072,14.264250426200515,25.072020263287204
1510,36.7922158424655,14.428209758167208,25.485060559163955
1520,36.92258951183216,14.375083689444972,25.725579261787765
1530,36.75811604170629,14.242473654042069,25.56824974935188
1540,36.81136847614833,13.972339760374625,24.583882696089955
1550,36.984738928966344,14.420798018872643,25.38457200603378
1560,36.69972258018702,14.340206258722917,26.889383723568848
1570,37.071761061002505,14.237011040015538,26.00589219372131
1580,37.46438169500365,14.408165795023296,26.995883334183866
1590,37.07114085450196,15.001178672528948,27.43773225455877
1600,37.11492997277335,15.603963118652086,28.50213112902656
1610,37.06740388431703,14.742633824412918,27.346593034407565
1620,37.143599860436844,15.398025364554805,27.315700928642585
1630,37.04656238197178,16.079400901052782,27.73637833277475
1640,37.05832833540766,16.140122300899254,28.94160003687622
1650,37.37584108941016,15.806072001754872,28.447815828855532
1660,37.156518828689634,15.594072659696266,28.55172631764766
1670,37.125337157497356,15.991907224007772,28.774968460751033
1680,37.121201707879656,16.637477842526096,29.79731883097392
1690,37.147206368760294,16.36931166685531,29.922970272495153
1700,37.31685864891185,16.856076778029944,30.22595027894389
1710,37.343528859504154,16.45936037549134,30.368080421289392
1720,37.31328784709927,16.800597212134182,30.03518808077868
1730,37.55977715444532,16.574080483316106,30.449040960389695
1740,37.4524748087871,15.74489526204157,29.734392353984173
1750,37.51015583250643,15.978778964419035,31.32799225060004
1760,37.304006060860026,15.857507227142591,30.717274135144635
1770,37.307232904909434,15.49443767592727,29.833535186079605
1780,37.6196114417234,15.819313284008924,30.62869178049892
1790,37.62949093144375,15.803713933701983,30.675246422360832
1800,37.37013688354225,15.670830701606377,30.0262186008406
1810,37.687476926573844,15.472000788857974,30.21218330325063
1820,37.87489426508928,15.970264231542966,29.67274178885933
1830,37.78578033585654,15.486069858294517,29.428671195704165
1840,38.161520990798316,16.45184979200963,31.32626984538851
1850,37.95915800967254,15.979183438433525,30.69920395332922
1860,37.82208645855509,15.789110001842513,30.412403887038543
1870,37.75911233698954,15.91592888546944,29.348736511329175
1880,37.793288227436484,16.316763114056787,31.249839010038126
1890,37.79320657652426,15.618709883126328,29.98911766908465
1900,37.842778846407015,15.751942926895095,30.329534872535614
1910,37.84494388300349,15.742904167229533,29.880300981587947
1920,38.1218637198749,15.990833358488809,30.205652245500406
1930,38.079156235527144,15.800119751795517,29.336095178390803
1940,38.080377380138664,16.41529303615287,29.671396182234005
1950,38.14735011389607,16.26664807359812,30.578685414264182
1960,38.151808458766475,16.03194090699149,29.868366598655893
1970,38.244496079136354,16.74854879951964,30.253617973628916
1980,38.08213342216308,16.467692508492604,29.579812239580157
1990,38.18534780158,16.374242631696543,29.756497201909585
2000,38.109653977402566,16.70785215995765,29.987472152307085
